n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
8,5,0.0,5,5,5,0.4626786291279042,-10.87199429704247,10
12,5,0.0,10,5,5,0.461423097634074,-10.43875097662207,13
15,10,0.0,10,5,5,0.4610007575458406,-10.507564239068657,13
17,15,0.01,10,5,10,0.46069145071826434,-13.137249793704484,3
5,15,0.0,5,5,5,0.46018534329351174,-10.786194162077795,20
9,10,0.0,10,5,5,0.4600008326447086,-10.406337397751688,17
10,20,0.01,10,5,5,0.4598153807939398,-9.613424549513873,13
19,20,0.01,10,5,5,0.45980856557760025,-9.664962658109133,11
17,10,0.05,5,5,5,0.459727600946439,-10.443027977573717,19
3,15,0.0,10,5,5,0.4591681942669196,-10.029264557373128,13
3,5,0.0,5,5,5,0.45888905965969196,-11.734701383033874,13
17,15,0.01,5,5,5,0.45840602094565946,-9.668348097207696,12
15,20,0.0,5,5,5,0.45801694056894054,-10.211221761330247,21
11,15,0.0,5,5,5,0.45765611268882966,-10.400295567396554,18
8,10,0.0,5,5,5,0.4576507195844031,-10.78772899962731,17
11,15,0.01,5,5,5,0.45722268432977103,-10.543097656318096,17
20,15,0.0,5,5,5,0.4570551649870261,-9.97487361988641,17
5,10,0.01,5,5,5,0.4569945153894136,-10.325287797838854,19
17,5,0.0,10,5,5,0.45692517098831753,-9.937887982221683,13
7,15,0.01,10,5,5,0.4568826568842405,-10.533290475332935,13
8,10,0.01,5,5,5,0.4557143966617291,-9.88420312607793,19
3,15,0.05,10,5,5,0.4556863269991866,-9.869591237768953,10
10,15,0.0,10,5,5,0.4553464153336028,-10.512762828765446,12
3,10,0.05,10,5,5,0.45523683249594177,-9.976171469343429,15
11,20,0.01,5,5,5,0.4545041441692948,-9.979090642552471,10
15,10,0.05,10,5,5,0.45435226900316517,-9.815756837613431,15
13,15,0.05,10,5,5,0.45392042555683626,-10.497663684714153,12
8,20,0.01,10,5,5,0.4536302878744245,-10.183029243612566,16
9,10,0.05,10,5,5,0.4516688192249244,-9.645797682185783,12
13,5,0.05,5,5,5,0.4508781875846218,-9.977826726981835,17
20,15,0.01,5,5,5,0.4501967172605161,-11.08648311513674,27
12,15,0.0,5,5,5,0.4500782308816244,-10.071168052649869,15
7,10,0.01,10,5,5,0.44973996185927495,-10.369059389288042,16
5,5,0.01,5,5,5,0.44958039835197433,-11.691596408461354,31
15,5,0.0,5,5,5,0.44900613196179767,-11.11806935332064,22
21,10,0.05,10,5,5,0.4487141472574272,-9.831724884000899,12
15,20,0.0,10,5,5,0.44718579827993477,-10.982552162017642,13
8,5,0.01,10,5,5,0.4464229330624193,-10.428484009251871,19
21,5,0.05,10,5,5,0.44601920368581494,-10.189379707321608,12
11,5,0.05,10,5,5,0.44518604073368995,-10.606889338454357,18
15,10,0.01,10,5,5,0.4441076515513527,-10.836502549765234,13
13,10,0.0,10,5,5,0.44387123028675984,-10.026693397348705,15
3,20,0.0,10,5,5,0.44325637776159593,-10.873011698910446,11
15,15,0.01,10,5,5,0.4419664283582068,-9.84756027416165,14
21,5,0.0,10,5,5,0.44164066935010393,-10.429433550162033,15
12,5,0.01,5,5,5,0.4413178679680465,-11.898804767202847,13
8,15,0.01,5,5,5,0.441165516721331,-9.853667407453852,14
10,15,0.01,10,5,5,0.4400334921188731,-11.026540888992418,14
3,5,0.0,10,5,5,0.4390783630204107,-11.642510211204316,3
3,10,0.01,10,5,5,0.43873965773160506,-10.215507788620455,15
8,20,0.01,5,5,5,0.4380193735860687,-10.706264880115883,17
12,15,0.01,5,5,5,0.437723711617811,-10.248869122480375,14
12,5,0.0,5,5,5,0.4363089734960803,-11.802797659815727,14
9,10,0.01,10,5,5,0.4362177511446174,-10.606902750524274,17
13,15,0.05,5,5,5,0.43529917724854383,-11.502240803605247,16
8,15,0.0,5,5,5,0.4351190932044809,,15
11,5,0.01,5,5,5,0.4350678397284829,-11.777811260692825,30
17,5,0.01,10,5,5,0.4342372060875571,-11.482989188997221,14
13,20,0.0,5,5,5,0.43397792651781925,-10.766604996325897,11
17,15,0.0,10,5,5,0.43376087034908234,-9.406703639548823,4
3,20,0.05,10,5,5,0.43364567055761005,-11.446587035726699,11
21,15,0.0,5,5,5,0.4332023889944506,-10.603013354404988,16
13,20,0.01,5,5,5,0.4326151677023768,-10.34490839386681,10
3,5,0.0,10,5,10,0.4316515866207755,-13.044920874335801,3
10,5,0.01,10,5,10,0.431579728014243,-12.19409678381541,4
13,20,0.05,5,5,10,0.43119509619243784,-12.50283559203326,14
7,15,0.05,10,5,5,0.43097569907082556,-11.172710560114334,14
19,5,0.01,5,5,5,0.4304105108273507,-11.096056121830777,10
7,10,0.0,5,5,5,0.43038391927942593,-11.59492426671574,20
9,5,0.05,5,5,5,0.43022832254294485,-11.498293926583559,12
11,5,0.0,10,5,5,0.43002915987990703,-10.997846529313122,20
9,5,0.01,5,5,5,0.4299201528139114,-12.245756428164698,13
21,10,0.05,5,5,5,0.4298865430783355,-10.460284160558821,14
5,10,0.05,10,5,5,0.42871321501097115,-10.165636934353067,13
19,20,0.0,10,5,5,0.42823164666361,-11.102814037062851,11
9,20,0.05,10,5,5,0.42803383848126214,-11.244319659567958,13
12,5,0.0,10,5,10,0.4279654563741655,-14.04620006495499,13
19,5,0.01,10,5,10,0.42794508982323914,-13.554515931178408,5
3,20,0.01,10,5,5,0.42787276320056056,-11.230755354405984,10
21,5,0.05,10,5,10,0.4276264123850822,-12.354963885144038,12
7,5,0.0,5,5,5,0.42728543357505977,-12.312142377034458,28
9,5,0.0,5,5,5,0.4272589228399387,-12.478316652188111,14
10,5,0.0,5,5,5,0.4268990211563843,-12.236671203487877,20
12,20,0.0,10,5,5,0.42662379734736,-10.390101267448117,15
11,20,0.01,10,5,5,0.42642314278062543,-11.425985322053558,9
17,5,0.01,5,5,10,0.4261544521643298,-14.307698824035958,11
8,20,0.0,10,5,10,0.4254531765583916,-13.49919811031925,11
17,5,0.05,10,5,5,0.42523564851457907,-11.036149269410636,12
5,15,0.0,10,5,5,0.4249376407643837,-10.678270286356604,16
7,10,0.0,10,5,5,0.4242433637195271,-11.827420368896695,4
5,10,0.0,10,5,5,0.4240890679826775,-11.838502809354907,13
7,15,0.0,10,5,5,0.42401026521723245,-11.495983235155256,13
11,5,0.05,5,5,5,0.42387373293457264,-11.83331574920726,14
19,20,0.05,10,5,5,0.4238557523960296,-12.81249228476088,3
11,15,0.0,10,5,10,0.4235599490847784,-12.444527670398413,5
11,5,0.0,5,5,10,0.4232971380561402,-11.093469269032699,11
20,5,0.01,5,5,5,0.4232848859399724,-11.72443023783685,13
7,10,0.05,5,5,5,0.4223098571391376,-11.58428032747326,24
20,20,0.01,10,5,10,0.4221587883050972,-12.85835129108122,12
8,5,0.01,5,5,5,0.4215629114068689,-11.857423766915163,22
17,5,0.05,10,5,10,0.42088205771249076,-13.136458122169064,12
11,10,0.05,10,5,5,0.4200728864433388,-10.895845377000906,16
17,5,0.0,5,5,5,0.4196363197188884,-11.580491847191881,23
19,15,0.05,10,5,5,0.41956379764736795,-10.637038034428224,10
12,5,0.0,5,5,10,0.4188363801622289,-14.548092179350943,14
7,5,0.01,10,5,5,0.4184608896996036,-10.891436709316272,13
7,15,0.05,5,5,5,0.4184054044359475,-10.79745836988712,17
15,20,0.0,10,5,10,0.4181076252009443,-12.80516161029586,13
11,5,0.01,10,5,5,0.41734513027771375,-11.682738560087436,20
9,20,0.0,10,5,5,0.4169877289014709,-11.015623341916097,12
15,5,0.0,10,5,5,0.4159445734966047,-10.458630335973481,12
17,15,0.05,10,5,10,0.4156757027293773,-13.412840137417247,12
