n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
10,25,0.0,5,5,5,0.4582113273512105,-11.13806752733839,6
10,15,0.01,5,5,5,0.4581668900969194,-12.012058555268544,8
11,15,0.05,5,5,10,0.45814407706690846,-15.642052735407646,6
3,20,0.05,5,5,10,0.45787713581188233,-16.687699354128124,7
6,20,0.01,5,5,5,0.4577539343248399,-11.293638486349604,9
17,15,0.025,5,5,5,0.45732457056615045,-10.867966184833401,8
17,15,0.05,5,5,5,0.45732457056615045,-10.867966184833401,8
13,20,0.0,5,5,10,0.4568283650442583,-16.0151291459148,9
18,25,0.05,5,5,5,0.45667678955428564,-10.850665412893742,8
18,20,0.025,5,5,10,0.4565903536938727,-16.209586538421394,7
18,20,0.01,5,5,10,0.4564562522901648,-16.049701211008074,7
13,20,0.01,5,5,5,0.456408329702312,-12.509737056024424,6
13,20,0.025,5,5,5,0.456408329702312,-12.509737056024424,6
10,10,0.025,5,5,5,0.4560023465758106,-12.573853129598117,9
18,25,0.025,5,5,10,0.45535030437815854,-15.196529133470559,8
4,10,0.01,5,5,5,0.45499919566285185,-12.309768211798634,10
15,20,0.05,5,5,5,0.4548554251456048,-12.233044303804176,8
2,15,0.01,5,5,5,0.4544353925592467,-12.421125756474776,10
12,20,0.025,5,5,10,0.45421599144189084,-15.733772078810683,6
19,20,0.025,5,5,10,0.4541698953533434,-15.564335768922271,6
17,10,0.05,5,5,5,0.4539568986770201,-11.960388964772317,10
12,15,0.0,5,5,5,0.4538381093177008,-11.32536732821905,8
8,10,0.0,5,5,10,0.4536571151174399,-15.369472160598855,6
5,25,0.025,5,5,10,0.4532858758868245,-16.650065095323185,7
13,20,0.01,5,5,10,0.45315595023659644,-15.683109964405517,6
10,20,0.025,5,5,5,0.4529452339480734,-11.657253045866083,9
5,25,0.01,5,5,10,0.4528275910197488,-16.358138882163153,9
14,20,0.025,5,5,5,0.45267156102738193,-12.185749081831725,7
8,15,0.05,5,5,5,0.452653452767288,-12.926223470083775,7
18,15,0.01,5,5,5,0.4524739048276734,-13.030396122014508,6
14,20,0.05,5,5,5,0.4522462628427843,-12.141295278388691,7
12,20,0.0,5,5,10,0.4517062898458146,-15.739535110821482,6
3,25,0.025,5,5,5,0.45161985776925423,-11.627201477569916,8
5,20,0.0,5,5,10,0.4513112085060314,-16.100291290966037,4
4,25,0.0,5,5,10,0.45123923457954246,-14.989409253460522,7
10,10,0.01,5,5,10,0.4511335658634842,-15.588482412259552,9
10,25,0.0,5,5,10,0.4509970537392552,-17.033164418183738,6
12,20,0.01,5,5,10,0.45098011129023907,-15.580512117557475,6
18,5,0.01,5,5,10,0.4505199823303507,-13.121566605223848,3
3,25,0.05,5,5,10,0.44994328850908677,-15.922413272257515,8
12,20,0.01,5,5,5,0.44981824366858947,-13.850642028387881,6
16,20,0.05,5,5,10,0.4495692358361028,-16.912426118023998,6
6,25,0.01,5,5,10,0.44954867708996804,-16.371445762883212,6
17,20,0.05,5,5,10,0.4494958253783226,-15.543588648292916,6
10,10,0.05,5,5,5,0.4492795056865906,-12.28866838009948,9
10,25,0.01,5,5,5,0.4491852367048472,-11.612895451507836,6
17,25,0.025,5,5,10,0.44914264001019344,-16.12725905998295,7
5,25,0.025,5,5,5,0.4490850028552054,-12.204750479244344,7
9,25,0.0,5,5,5,0.44907865102585165,-11.225332950372609,8
13,25,0.0,5,5,10,0.44900606513812935,-16.57872414230123,7
3,20,0.0,5,5,10,0.4489709652809641,-16.584834065596823,8
10,25,0.025,5,5,10,0.4489604039647398,-17.035976180094345,6
20,15,0.0,5,5,10,0.4486167836484161,-14.46284046348697,6
8,10,0.025,5,5,5,0.4485456557470949,-12.601262992496725,6
14,20,0.01,5,5,10,0.448510785940192,-15.974012770253566,7
17,20,0.0,5,5,10,0.4483123948954166,-17.238146669682898,6
12,10,0.05,5,5,10,0.4483091870285668,-15.494693679273164,6
4,10,0.025,5,5,5,0.44815700127814484,-13.472788544575517,9
15,20,0.0,5,5,5,0.44770977872525536,-12.477060093074034,8
18,25,0.0,5,5,10,0.44766836675838356,-16.286020340650094,7
12,15,0.01,5,5,5,0.44757411627719573,-13.086369062542463,9
11,25,0.025,5,5,10,0.44753487870251324,-16.658936230030214,8
10,15,0.05,5,5,10,0.4468595301954426,-16.185008780334275,7
8,20,0.01,5,5,5,0.4462360846969938,-12.621334176369432,7
20,20,0.01,5,5,10,0.4462321112254579,-15.194480020761768,6
13,25,0.05,5,5,5,0.4462045687079062,-12.396605322333357,7
10,25,0.01,5,5,10,0.4458348467729354,-16.706622873655512,6
7,20,0.01,5,5,5,0.44551592263009876,-11.234043533803007,9
17,5,0.05,5,5,5,0.4455156352605624,-10.922791582564054,8
5,20,0.05,5,5,5,0.44538780806316397,-12.347443056782684,6
12,5,0.05,5,5,10,0.4449318408682247,-16.541362704485678,9
19,15,0.01,5,5,10,0.44481053617940824,-16.88516718359358,5
18,10,0.01,5,5,10,0.444653167335448,-15.985768612209204,6
13,25,0.01,5,5,10,0.4441430813656239,-16.0406217322024,7
